State,District,Season,Crop,Soil_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Fertilizer_kg_per_hectare,Soil_pH,Irrigation_Type,Previous_Crop,Pest_Risk,Yield_tonnes_per_hectare
Punjab,District_49,Rabi,Wheat,Loamy,470.0,37.2,77.9,,6.5,Rainfed,Sugarcane,Low,3.33
Manipur,District_13,Zaid,Pulses,Black,1252.9,36.9,69.9,86.3,6.2,Canal,Sugarcane,Low,1.29
Haryana,District_43,Rabi,Pulses,Black,1960.7,25.1,87.2,180.7,6.5,Sprinkler,Rice,High,0.99
West Bengal,District_9,Zaid,Pulses,Sandy,967.8,35.8,67.2,111.7,5.7,Canal,Cotton,Medium,1.01
Tamil Nadu,District_32,Kharif,Maize,Red,366.3,32.8,68.8,223.1,,Sprinkler,Pulses,Low,2.59
Maharashtra,District_22,Zaid,Pulses,Loamy,502.3,36.7,59.5,221.8,5.2,Canal,Pulses,Low,1.05
Meghalaya,District_50,Kharif,Maize,Black,1103.5,29.4,78.4,73.8,7.5,Canal,Wheat,Low,2.21
Uttar Pradesh,District_44,Zaid,Maize,Loamy,1171.9,19.5,46.4,221.6,7.3,Tubewell,Sugarcane,Medium,2.9
West Bengal,District_50,Zaid,Maize,Loamy,1760.1,37.3,58.9,108.4,6.6,Canal,Cotton,Medium,2.5
Uttar Pradesh,District_44,Rabi,Wheat,Sandy,1631.5,28.0,89.3,247.2,5.7,Tubewell,Rice,Medium,3.11
Maharashtra,District_26,Zaid,Pulses,Red,395.3,29.2,70.1,203.6,7.2,Drip,Cotton,Low,1.48
Meghalaya,District_30,Kharif,Cotton,Alluvial,1151.3,36.1,82.7,79.7,6.2,Rainfed,Maize,Low,2.15
Odisha,District_45,Kharif,Maize,Sandy,518.6,32.4,50.7,175.3,6.7,Sprinkler,Pulses,Low,2.65
Odisha,District_3,Zaid,Maize,Black,,27.8,93.8,173.1,6.6,Drip,Wheat,Low,3.17
Rajasthan,District_1,Rabi,Pulses,Red,136.9,34.0,62.6,106.5,5.5,Tubewell,Maize,High,0.83
Odisha,District_44,Zaid,Pulses,Alluvial,1118.7,16.2,61.5,191.2,7.7,Canal,Rice,Low,1.28
Tamil Nadu,District_39,Kharif,Rice,Loamy,,20.7,55.3,199.0,6.5,Drip,Pulses,Medium,3.55
Gujarat,District_23,Kharif,Rice,Black,755.8,23.0,64.6,173.5,6.2,Drip,Pulses,Low,3.42
Gujarat,District_23,Kharif,Cotton,Sandy,938.8,36.2,72.5,167.5,7.8,Canal,Wheat,High,1.57
Assam,District_12,Kharif,Cotton,Black,2229.6,25.0,55.0,156.7,5.4,Canal,Cotton,Low,1.95
Rajasthan,District_29,Zaid,Pulses,Alluvial,234.6,23.4,49.2,99.6,7.4,Canal,Maize,Low,1.01
Tamil Nadu,District_47,Rabi,Pulses,red,1243.6,24.6,90.9,150.5,7.6,Canal,Maize,Low,1.08
Karnataka,District_2,Kharif,Rice,Loamy,1127.2,20.7,56.5,137.5,7.7,Rainfed,Rice,Low,3.65
West Bengal,District_45,Rabi,Pulses,Red,1073.4,28.5,74.2,217.6,6.9,Sprinkler,Cotton,Low,1.35
Odisha,District_3,Kharif,Rice,Sandy,449.4,33.7,84.3,99.8,7.7,Tubewell,Wheat,Low,3.85
Odisha,District_15,Kharif,Maize,Red,1549.1,29.9,88.6,164.1,7.7,Tubewell,Wheat,High,2.53
Gujarat,District_31,Rabi,Pulses,Loamy,1452.0,30.5,77.7,144.2,7.4,Rainfed,Cotton,Low,1.26
Meghalaya,District_42,Rabi,Wheat,Loamy,1238.8,26.0,56.7,61.6,6.2,Canal,Sugarcane,High,2.66
Odisha,District_15,Rabi,Wheat,Alluvial,,32.3,82.9,169.1,5.5,Drip,Sugarcane,Low,4.33
Gujarat,District_39,Zaid,Pulses,Black,1614.9,35.8,63.5,190.0,7.1,Tubewell,Sugarcane,Medium,1.3
West Bengal,District_48,Zaid,Pulses,Alluvial,2636.4,19.5,54.2,109.8,5.4,Sprinkler,Rice,Medium,0.99
Odisha,District_11,Rabi,Wheat,Red,1831.6,35.6,56.2,119.5,5.7,Tubewell,Wheat,Medium,2.91
Manipur,District_10,Rabi,Pulses,Black,1191.4,34.8,57.1,113.9,7.0,Sprinkler,Wheat,Low,1.41
Karnataka,District_13,Kharif,Cotton,Sandy,1031.9,35.6,82.7,182.8,6.5,Rainfed,Wheat,Medium,1.92
Karnataka,District_12,Rabi,Wheat,Black,1078.1,24.7,52.9,126.7,6.4,Sprinkler,Pulses,Medium,2.44
Manipur,District_7,Kharif,Rice,Black,445.3,24.8,45.8,62.4,6.1,Tubewell,Rice,Low,3.45
Uttar Pradesh,District_7,Rabi,Wheat,Sandy,2035.9,18.8,82.0,246.0,7.2,Sprinkler,Pulses,Medium,2.67
West Bengal,District_27,Zaid,Maize,Black,501.8,24.2,81.4,169.7,6.1,Rainfed,Wheat,Low,2.67
Gujarat,District_48,Kharif,Cotton,Loamy,1762.0,23.4,57.5,179.1,6.1,Sprinkler,Cotton,High,1.83
Assam,District_47,Rabi,Pulses,Sandy,2177.6,26.1,67.5,109.7,6.1,Sprinkler,Wheat,Low,0.99
West Bengal,District_44,Kharif,Rice,Loamy,583.5,29.3,57.1,161.0,6.7,Sprinkler,Pulses,Medium,3.48
Manipur,District_11,Kharif,Rice,Black,902.8,24.3,86.3,86.1,6.5,Canal,Rice,Low,3.11
Assam,District_45,Zaid,Maize,Alluvial,1826.3,21.7,92.7,68.7,6.4,Drip,Wheat,Low,2.81
Tamil Nadu,District_40,Zaid,Maize,Loamy,748.8,29.6,58.2,199.8,6.1,Canal,Maize,High,2.43
Assam,District_18,Zaid,Pulses,Black,682.2,29.7,70.0,63.6,6.0,Sprinkler,Wheat,High,1.24
West Bengal,District_27,Kharif,Rice,Sandy,878.1,29.9,62.2,122.0,7.3,Drip,Rice,Low,3.44
Uttar Pradesh,District_5,Rabi,Wheat,Loamy,2553.4,24.0,77.3,261.7,6.8,Canal,Cotton,Medium,2.88
Rajasthan,District_17,Kharif,Rice,Red,157.9,38.0,64.0,99.3,5.3,Drip,Maize,Low,2.79
Haryana,District_31,Zaid,Pulses,Red,832.2,30.3,47.1,301.1,5.8,Canal,Wheat,Low,1.27
Odisha,District_18,Zaid,Pulses,Sandy,1160.6,22.1,78.5,122.4,7.5,Canal,Rice,Medium,0.92
Rajasthan,District_29,Zaid,Pulses,Loamy,123.2,23.2,82.2,84.4,5.7,Tubewell,Wheat,Low,0.96
Uttar Pradesh,District_14,Zaid,Pulses,Loamy,2159.6,21.6,94.6,222.9,7.2,Sprinkler,Wheat,Medium,1.28
Meghalaya,District_25,Rabi,Pulses,Black,1014.5,32.0,57.5,139.3,7.5,Sprinkler,Maize,Low,1.32
Manipur,District_44,Rabi,Pulses,Alluvial,887.2,16.8,74.2,65.3,5.8,Tubewell,Cotton,Medium,0.98
West Bengal,District_10,Zaid,Maize,Sandy,1098.8,21.2,67.0,116.0,6.5,Sprinkler,Maize,Low,2.63
Meghalaya,District_30,Kharif,Cotton,Alluvial,898.1,21.1,54.4,105.9,6.0,Rainfed,Wheat,Low,2.19
Manipur,District_32,Rabi,Wheat,Black,573.7,17.5,48.6,104.3,7.2,Tubewell,Wheat,Medium,2.95
Tamil Nadu,District_18,Kharif,Rice,Loamy,1000.0,34.8,83.4,182.6,5.6,Canal,Cotton,Medium,3.16
Karnataka,District_45,Rabi,Pulses,Red,2219.3,15.9,74.2,210.8,7.1,Canal,Wheat,Medium,1.19
Meghalaya,District_6,Rabi,Pulses,Red,848.8,24.7,50.7,90.8,6.5,Drip,Maize,Low,1.17
Manipur,District_40,Rabi,Pulses,Alluvial,1457.5,36.3,74.9,138.0,7.5,Tubewell,Cotton,Low,1.65
Manipur,District_7,Rabi,Wheat,Sandy,1540.2,20.1,79.6,133.5,5.2,Sprinkler,Sugarcane,Low,3.42
Manipur,District_13,Rabi,Wheat,Black,1218.7,15.9,86.4,,7.6,Canal,Rice,Low,3.27
Tamil Nadu,District_35,Zaid,Pulses,Loamy,1799.3,34.6,68.5,202.8,6.0,Tubewell,Maize,Low,1.43
Manipur,District_34,Rabi,Wheat,Sandy,887.1,30.8,50.0,65.9,6.5,Tubewell,Rice,Low,3.0
Rajasthan,District_13,Zaid,Pulses,Red,187.3,17.3,45.2,108.5,5.6,Drip,Maize,Low,0.99
Uttar Pradesh,District_21,Zaid,Pulses,Black,1698.7,31.8,46.3,275.0,5.6,Canal,Maize,Low,1.25
Rajasthan,District_7,Kharif,Cotton,Sandy,254.5,30.1,74.7,103.0,7.1,Canal,Pulses,Low,1.95
Manipur,District_49,Kharif,Rice,Sandy,4030.5,15.2,92.7,159.66,6.5,Sprinkler,Cotton,Low,3.77
Meghalaya,District_42,Zaid,Pulses,Alluvial,906.9,32.2,87.9,90.7,6.5,Tubewell,Maize,Low,1.18
Rajasthan,District_38,Rabi,Pulses,Red,185.5,32.3,88.2,164.5,7.2,Rainfed,Maize,Low,1.33
Gujarat,District_41,Zaid,Pulses,Loamy,626.7,36.1,93.6,135.1,6.8,Sprinkler,Maize,Low,1.13
Uttar Pradesh,District_5,Rabi,Wheat,Black,710.8,32.3,61.4,217.6,5.7,Drip,Pulses,Low,3.04
Punjab,District_26,Zaid,Pulses,Loamy,2529.0,24.7,64.0,204.0,5.6,Tubewell,Maize,Medium,1.04
Punjab,District_15,Kharif,Maize,Black,549.3,20.5,92.3,210.7,7.2,Tubewell,Maize,High,1.86
West Bengal,District_38,Rabi,Wheat,Sandy,2425.9,18.1,69.2,216.7,6.3,Tubewell,Rice,Low,3.26
Haryana,District_43,Zaid,Maize,Black,,31.7,72.2,171.6,7.2,Drip,Maize,Low,2.58
Odisha,District_36,Kharif,Cotton,Alluvial,1307.0,21.6,67.5,,5.6,Rainfed,Pulses,Medium,1.75
Manipur,District_37,Rabi,Wheat,Loamy,1014.8,23.0,49.1,,7.4,Tubewell,Maize,Low,3.14
Tamil Nadu,District_12,Zaid,Maize,Loamy,748.0,34.8,58.1,149.3,7.1,Drip,Pulses,Medium,2.53
Haryana,District_2,Kharif,Cotton,Sandy,577.1,19.2,56.1,268.0,7.3,Canal,Cotton,High,1.82
Haryana,District_7,Kharif,Maize,Black,1239.2,18.4,66.8,206.6,6.1,Tubewell,Maize,Low,2.92
West Bengal,District_2,Kharif,Cotton,Alluvial,1449.8,17.8,59.2,212.7,6.4,Tubewell,Cotton,Low,2.39
Odisha,District_45,Zaid,Maize,Black,,30.9,47.9,102.7,6.2,Drip,Pulses,Medium,2.32
Gujarat,District_8,Zaid,Maize,Loamy,1928.6,19.1,58.7,132.9,6.7,Canal,Pulses,Low,3.03
Meghalaya,District_10,Rabi,Wheat,Loamy,1703.9,30.9,78.8,73.3,7.4,Tubewell,Sugarcane,Medium,3.22
Uttar Pradesh,District_16,Kharif,Rice,Black,1605.8,28.2,93.6,244.2,7.3,Rainfed,Sugarcane,Low,4.04
Assam,District_1,Kharif,Rice,Red,1623.5,20.6,55.6,80.8,7.6,Rainfed,Rice,Low,3.2
West Bengal,District_1,Zaid,Pulses,Alluvial,1289.8,16.7,94.1,116.8,,Rainfed,Rice,Medium,1.25
Manipur,District_16,Zaid,Pulses,Red,697.5,34.9,78.6,135.4,5.6,Drip,Sugarcane,High,1.24
West Bengal,District_32,Zaid,Pulses,alluvial,282.7,30.6,73.3,141.8,6.3,Canal,Rice,Low,1.01
Haryana,District_34,Rabi,Wheat,Sandy,1912.9,36.1,48.9,289.3,7.0,Canal,Sugarcane,Medium,3.43
Meghalaya,District_23,Zaid,Maize,Black,1310.8,36.2,56.0,135.0,5.3,Sprinkler,Wheat,Low,2.76
Karnataka,District_17,Zaid,Pulses,Alluvial,1797.4,21.3,82.7,222.7,5.4,Drip,Rice,High,1.28
Haryana,District_17,Rabi,Wheat,Loamy,1580.6,25.8,52.4,240.0,7.2,Drip,Maize,Medium,2.99
Haryana,District_43,Kharif,Cotton,Black,1201.7,32.0,46.9,282.7,7.4,Sprinkler,Sugarcane,Medium,1.91
Karnataka,District_35,Zaid,Pulses,Sandy,1244.3,34.1,45.2,158.1,6.1,Drip,Pulses,High,1.13
Rajasthan,District_13,Zaid,Maize,Black,429.9,26.3,58.7,125.6,7.2,Drip,Maize,Medium,2.72
Haryana,District_16,Kharif,Cotton,Loamy,2195.8,16.2,54.9,271.4,6.3,Drip,Maize,Low,2.34
Odisha,District_43,Zaid,Pulses,Sandy,1591.9,36.5,52.6,173.2,7.0,Canal,Pulses,Medium,1.37
Tamil Nadu,District_9,Kharif,Rice,Black,1117.8,24.3,45.2,,7.7,Drip,Wheat,Low,3.09
Rajasthan,District_18,Rabi,Wheat,Black,175.1,26.3,51.7,116.6,7.8,Canal,Rice,High,1.85
Karnataka,District_22,Zaid,Pulses,Black,3180.6,21.0,73.3,212.0,5.5,Drip,Maize,Low,1.11
Haryana,District_48,Kharif,Maize,Alluvial,755.1,36.5,66.2,258.7,5.3,Drip,Maize,High,2.06
Maharashtra,District_17,Zaid,Maize,Black,631.7,29.7,54.6,138.6,7.6,Sprinkler,Wheat,Low,2.19
Gujarat,District_44,Kharif,Cotton,Black,277.0,35.9,78.4,201.4,6.3,Rainfed,Wheat,Medium,1.9
Odisha,District_26,Kharif,Rice,Red,1786.4,19.4,62.5,157.7,6.6,Drip,Pulses,High,3.91
Gujarat,District_33,Kharif,Cotton,Sandy,1146.7,34.4,80.1,184.9,5.9,Tubewell,Cotton,Low,2.17
Maharashtra,District_20,Kharif,Cotton,alluvial,1321.2,37.5,89.3,147.9,5.9,Tubewell,Cotton,Medium,2.13
West Bengal,District_19,Kharif,Cotton,Black,538.2,28.2,73.8,171.6,5.9,Drip,Pulses,High,2.05
Rajasthan,District_49,Zaid,Pulses,Loamy,551.5,16.4,64.3,93.0,5.4,Canal,Sugarcane,High,0.89
Uttar Pradesh,District_12,Kharif,Rice,Sandy,527.1,31.8,49.6,279.2,6.0,Sprinkler,Sugarcane,High,3.3
Punjab,District_16,Kharif,Rice,Loamy,2146.1,22.8,55.3,233.0,7.1,Sprinkler,Sugarcane,High,3.03
Odisha,District_7,Kharif,Cotton,alluvial,678.8,30.8,81.9,160.0,5.7,Sprinkler,Maize,High,1.77
West Bengal,District_39,Zaid,Pulses,Red,884.3,27.8,88.0,178.0,7.0,Sprinkler,Rice,Medium,1.33
Tamil Nadu,District_19,Kharif,Rice,Black,1955.75,31.9,92.4,369.90000000000003,5.5,Drip,Wheat,Low,3.15
Odisha,District_35,Zaid,Pulses,Loamy,782.2,38.0,81.2,158.5,7.5,Tubewell,Rice,Medium,1.36
Manipur,District_45,Kharif,Cotton,Red,1925.3,17.9,72.1,110.6,6.4,Tubewell,Maize,High,1.85
Rajasthan,District_20,Zaid,Pulses,Loamy,352.1,36.6,86.0,122.4,6.3,Drip,Rice,High,0.98
Manipur,District_30,Zaid,Pulses,Black,987.5,20.6,57.7,118.4,5.6,Drip,Rice,Low,1.3
Karnataka,District_23,Zaid,Pulses,Alluvial,1714.6,17.7,81.0,237.9,6.2,Tubewell,Rice,Medium,1.42
West Bengal,District_12,Zaid,Maize,Red,1669.9,16.3,78.8,199.7,7.6,Tubewell,Sugarcane,Low,2.84
Haryana,District_36,Kharif,Cotton,Red,589.3,20.1,81.9,227.8,6.3,Canal,Rice,Low,1.93
Odisha,District_27,Zaid,Pulses,Sandy,1487.3,34.0,51.6,155.6,7.4,Sprinkler,Maize,High,1.28
Gujarat,District_10,Rabi,Pulses,Black,1280.1,30.9,55.2,208.0,7.2,Drip,Pulses,High,1.4
Haryana,District_47,Rabi,Wheat,Alluvial,762.3,36.8,72.3,214.3,6.2,Canal,Cotton,Medium,2.84
Uttar Pradesh,District_15,Zaid,Maize,Red,1438.9,16.3,93.6,165.5,7.5,Sprinkler,Maize,Medium,3.05
Karnataka,District_35,Kharif,Cotton,Black,2236.0,36.9,84.9,201.2,7.0,Sprinkler,Rice,Medium,2.09
Assam,District_25,Rabi,Pulses,Alluvial,580.2,17.3,45.6,61.6,7.1,Sprinkler,Rice,Medium,1.06
Odisha,District_17,Zaid,Maize,Alluvial,127.4,27.4,51.4,108.0,7.3,Canal,Sugarcane,Medium,2.11
Tamil Nadu,District_34,Zaid,Pulses,Alluvial,989.8,22.2,74.7,231.9,,Rainfed,Maize,Low,1.23
Tamil Nadu,District_40,Rabi,Pulses,Black,1955.5,37.8,61.1,156.8,6.6,Tubewell,Sugarcane,Medium,1.09
Gujarat,District_2,Rabi,Wheat,Black,1769.4,16.9,54.7,131.9,7.1,Drip,Sugarcane,High,2.73
Gujarat,District_34,Kharif,Cotton,Alluvial,691.8,22.1,65.3,165.8,6.6,Tubewell,Pulses,Low,1.94
Odisha,District_24,Zaid,Pulses,Red,1426.3,30.3,45.3,117.8,6.7,Rainfed,Sugarcane,High,1.16
Meghalaya,District_44,Kharif,Rice,Sandy,1498.1,34.0,64.7,125.1,7.4,Rainfed,Maize,Low,4.03
West Bengal,District_43,Zaid,Pulses,black,913.5,35.3,69.7,180.6,6.2,Sprinkler,Sugarcane,Low,1.36
Karnataka,District_44,Kharif,Cotton,Loamy,1422.2,29.8,89.6,231.4,5.9,Rainfed,Pulses,Medium,1.95
