State,District,Season,Crop,Soil_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Fertilizer_kg_per_hectare,Soil_pH,Irrigation_Type,Previous_Crop,Pest_Risk,Soil_N,Soil_P,Soil_K,Irrigation_Frequency,Yield_tonnes_per_hectare
Haryana,District_13,Rabi,Pulses,Sandy,1093.4,35.3,81.1,288.7,6.1,Tubewell,Maize,High,132.9,65.8,147.8,4,1.25
Manipur,District_39,Zaid,Wheat,Sandy,681.7,22.3,49.3,193.6,7.6,Rainfed,Cotton,Low,154.4,65.6,50.7,6,2.61
Punjab,District_4,Rabi,Rice,Red,507.5,22.4,86.7,92.8,7.0,Tubewell,Sugarcane,Low,132.9,43.7,86.2,2,3.29
Haryana,District_49,Zaid,Rice,Loamy,1423.2,29.9,78.6,251.0,7.5,Sprinkler,Wheat,Low,100.7,50.0,50.3,7,4.99
Uttar Pradesh,District_17,Rabi,Pulses,Sandy,544.6,37.6,86.1,266.5,5.9,Sprinkler,Sugarcane,Low,55.8,44.3,99.1,5,1.45
Maharashtra,District_20,Zaid,Wheat,Black,2261.9,29.3,44.7,72.4,6.6,Drip,Pulses,High,131.1,71.0,119.9,2,2.83
Rajasthan,District_8,Rabi,Maize,Sandy,298.6,21.2,64.1,78.8,5.3,Tubewell,Wheat,Medium,194.4,86.9,116.6,5,2.1
Haryana,District_15,Kharif,Maize,Sandy,428.6,19.2,91.4,213.2,6.5,Sprinkler,Wheat,High,148.6,54.9,120.3,3,2.27
Punjab,District_5,Zaid,Rice,Alluvial,731.4,15.3,46.4,71.0,5.3,Canal,Maize,Low,178.3,76.3,92.2,5,2.83
Haryana,District_32,Kharif,Sugarcane,Red,511.2,24.2,73.9,212.4,5.3,Tubewell,Sugarcane,High,106.2,70.1,95.3,1,50.07
Uttar Pradesh,District_16,Zaid,Pulses,Sandy,2626.5,36.7,91.9,268.1,6.9,Drip,Cotton,Medium,170.1,74.2,103.1,1,1.38
West Bengal,District_28,Kharif,Rice,Loamy,2836.6,23.9,92.9,277.3,5.7,Drip,Cotton,Medium,60.4,28.1,42.0,3,2.96
Meghalaya,District_26,Zaid,Rice,Alluvial,430.2,23.9,77.5,141.7,5.9,Rainfed,Rice,Low,124.4,75.4,78.3,8,3.81
West Bengal,District_9,Kharif,Wheat,Sandy,1636.1,19.1,81.3,253.6,7.8,Drip,Wheat,Medium,111.9,49.8,125.4,8,3.16
Assam,District_36,Kharif,Cotton,Alluvial,1207.0,30.6,80.7,117.2,6.2,Canal,Rice,Medium,130.1,59.7,82.9,3,2.2
Rajasthan,District_11,Kharif,Sugarcane,Alluvial,1296.9,28.2,74.8,167.6,6.0,Drip,Cotton,Low,99.3,73.8,122.8,7,71.84
Gujarat,District_25,Rabi,Wheat,Alluvial,914.7,37.4,94.8,73.4,7.1,Canal,Cotton,Low,131.9,76.5,146.6,9,3.06
Assam,District_47,Rabi,Cotton,Loamy,1491.6,16.9,78.6,77.5,7.3,Sprinkler,Pulses,High,155.9,26.5,49.3,3,2.07
Meghalaya,District_14,Kharif,Cotton,Black,1828.8,20.4,89.9,202.1,6.1,Canal,Sugarcane,Medium,156.2,58.5,81.6,7,2.27
Meghalaya,District_4,Kharif,Sugarcane,Red,1669.9,26.3,40.6,172.5,5.3,Sprinkler,Cotton,Low,67.8,29.4,111.4,1,64.5
Tamil Nadu,District_6,Kharif,Sugarcane,Alluvial,579.8,26.0,44.6,186.8,6.3,Tubewell,Rice,High,170.3,98.2,101.2,5,59.52
Karnataka,District_8,Zaid,Rice,Black,1006.2,16.7,49.1,112.0,6.0,Sprinkler,Wheat,Medium,199.4,75.8,82.3,7,3.62
Karnataka,District_27,Kharif,Sugarcane,Sandy,2898.4,19.3,65.5,144.8,6.7,Sprinkler,Sugarcane,Low,61.7,98.0,148.5,6,61.73
Tamil Nadu,District_46,Rabi,Maize,Black,2421.0,18.1,44.2,285.7,6.3,Rainfed,Wheat,High,137.2,93.5,49.1,2,2.26
Assam,District_21,Kharif,Cotton,Red,533.3,32.9,66.4,296.5,6.2,Canal,Rice,Medium,162.4,51.4,131.2,1,2.05
Gujarat,District_35,Zaid,Sugarcane,Alluvial,1035.5,21.3,43.1,267.5,7.3,Tubewell,Sugarcane,Low,200.0,99.7,101.1,5,79.79
Assam,District_24,Rabi,Wheat,Alluvial,1720.9,20.5,51.3,120.3,5.9,Rainfed,Wheat,Low,81.1,90.3,123.3,2,3.51
Gujarat,District_42,Zaid,Sugarcane,Red,689.7,27.0,82.5,184.8,7.4,Sprinkler,Rice,High,132.8,64.9,136.4,9,54.74
Rajasthan,District_17,Rabi,Sugarcane,Alluvial,807.1,33.0,75.2,253.2,7.5,Canal,Rice,Low,142.6,98.4,106.9,2,71.47
Meghalaya,District_39,Kharif,Sugarcane,Red,550.7,23.0,68.3,248.1,6.2,Tubewell,Pulses,Medium,143.3,89.0,144.4,4,50.81
Odisha,District_32,Zaid,Wheat,Red,1953.6,16.5,42.5,209.0,6.1,Rainfed,Rice,High,81.4,66.4,77.6,9,3.05
Haryana,District_1,Rabi,Pulses,Red,3068.4,31.0,49.9,227.2,6.3,Rainfed,Wheat,Low,181.1,61.2,147.0,3,1.32
Rajasthan,District_46,Kharif,Maize,Loamy,694.9,17.8,65.3,109.5,6.1,Drip,Sugarcane,High,125.5,75.2,44.3,9,2.03
Punjab,District_3,Kharif,Rice,Black,2658.2,18.6,60.8,60.6,7.5,Rainfed,Sugarcane,High,62.7,67.8,148.5,8,3.22
Tamil Nadu,District_20,Rabi,Wheat,Black,3105.1,25.6,81.1,68.8,5.9,Rainfed,Rice,Low,157.0,91.6,96.3,2,3.22
Odisha,District_7,Zaid,Wheat,Black,2228.1,21.2,60.8,64.8,6.0,Rainfed,Sugarcane,High,81.7,46.2,53.2,1,2.25
Maharashtra,District_11,Zaid,Sugarcane,Black,911.1,29.9,66.4,200.2,7.1,Tubewell,Cotton,Low,133.7,66.9,102.1,9,54.86
Punjab,District_43,Zaid,Wheat,Red,1561.4,20.6,67.4,139.3,7.6,Tubewell,Maize,Medium,51.1,38.0,80.2,4,2.67
Uttar Pradesh,District_31,Kharif,Pulses,Loamy,1624.7,37.4,67.0,233.5,7.3,Tubewell,Wheat,Low,157.8,62.8,92.4,5,1.47
Gujarat,District_2,Rabi,Maize,Black,806.5,26.7,53.3,87.6,6.8,Tubewell,Cotton,Low,93.3,66.5,57.0,4,2.3
Odisha,District_42,Kharif,Maize,Red,1688.4,25.4,70.2,191.7,5.7,Sprinkler,Cotton,Medium,152.7,27.0,55.3,9,2.17
Rajasthan,District_17,Rabi,Sugarcane,Alluvial,1433.3,24.5,59.2,283.1,7.4,Tubewell,Sugarcane,Low,194.8,29.9,120.4,9,80.97
Assam,District_23,Kharif,Rice,Sandy,833.0,31.6,42.6,247.6,7.4,Rainfed,Cotton,Medium,162.6,84.0,130.8,5,3.19
Karnataka,District_13,Kharif,Sugarcane,Loamy,1442.7,23.3,88.2,154.2,7.3,Rainfed,Rice,High,115.9,50.2,90.9,6,66.82
Meghalaya,District_44,Kharif,Cotton,Sandy,231.7,23.2,61.5,187.6,5.4,Tubewell,Maize,High,84.4,63.4,87.5,3,1.89
Maharashtra,District_21,Zaid,Rice,Red,450.5,33.3,74.1,188.0,7.5,Canal,Pulses,High,168.3,32.1,74.3,5,3.21
Assam,District_26,Rabi,Sugarcane,Loamy,838.6,31.4,67.2,241.1,5.5,Rainfed,Sugarcane,Medium,130.5,50.3,90.3,4,56.34
Uttar Pradesh,District_48,Rabi,Wheat,Loamy,2017.3,20.3,79.7,232.8,6.9,Tubewell,Sugarcane,High,154.1,63.4,67.7,5,2.98
Karnataka,District_20,Rabi,Maize,Sandy,552.7,21.6,73.8,278.8,5.6,Rainfed,Wheat,Low,65.1,40.5,119.9,4,2.34
Maharashtra,District_29,Zaid,Sugarcane,Red,788.9,16.8,45.7,261.7,7.6,Drip,Pulses,Medium,68.4,38.9,58.2,4,60.34
West Bengal,District_6,Rabi,Sugarcane,Black,1132.3,24.2,43.0,140.4,7.3,Rainfed,Sugarcane,High,50.7,46.7,83.8,9,61.01
Rajasthan,District_49,Zaid,Pulses,Red,426.5,28.5,41.8,279.1,5.8,Tubewell,Pulses,Low,136.6,33.2,43.7,1,1.03
Assam,District_3,Kharif,Wheat,Black,1844.7,15.3,76.5,102.7,7.7,Tubewell,Cotton,Low,72.3,53.2,49.4,8,2.53
Karnataka,District_37,Rabi,Rice,Loamy,3339.4,32.2,51.5,275.5,5.7,Tubewell,Pulses,High,78.6,22.9,91.9,8,3.26
Meghalaya,District_10,Rabi,Cotton,Loamy,398.1,27.1,69.4,175.5,6.5,Canal,Rice,Low,164.8,28.2,76.8,7,2.32
Manipur,District_34,Kharif,Cotton,Black,1016.1,29.8,62.5,66.1,5.6,Drip,Rice,High,157.4,72.7,43.0,7,1.75
Tamil Nadu,District_30,Kharif,Wheat,Loamy,714.1,28.7,58.7,196.7,7.5,Sprinkler,Sugarcane,Low,133.5,77.7,128.6,8,2.82
Karnataka,District_33,Rabi,Maize,Sandy,1561.0,24.1,76.7,109.2,6.0,Drip,Sugarcane,High,184.5,21.0,49.4,7,2.42
Gujarat,District_17,Zaid,Wheat,Loamy,1300.9,35.9,74.4,140.6,7.3,Tubewell,Pulses,Medium,104.5,22.7,131.4,5,3.25
Assam,District_29,Rabi,Sugarcane,Black,1982.8,21.8,92.2,243.3,5.6,Canal,Pulses,Medium,180.3,59.0,138.4,1,49.68
Assam,District_35,Rabi,Wheat,Red,2996.7,31.1,62.1,112.3,6.9,Canal,Wheat,Medium,113.3,30.6,139.1,2,2.36
Uttar Pradesh,District_14,Rabi,Wheat,Black,404.3,30.0,85.6,109.5,5.2,Canal,Cotton,High,70.5,92.0,136.1,8,2.4
Maharashtra,District_4,Zaid,Maize,Loamy,1561.5,28.2,86.1,157.1,7.2,Tubewell,Cotton,Medium,113.3,48.3,145.4,1,2.49
Maharashtra,District_25,Zaid,Sugarcane,Alluvial,1210.8,24.0,55.9,145.4,7.1,Drip,Rice,High,94.6,65.3,92.4,8,52.71
Odisha,District_48,Rabi,Maize,Loamy,1155.7,15.7,54.4,202.8,5.3,Sprinkler,Sugarcane,High,124.5,67.7,76.8,2,2.35
West Bengal,District_32,Kharif,Cotton,Red,1080.0,25.0,53.6,256.6,7.3,Canal,Cotton,Medium,154.2,41.8,104.9,3,2.54
Odisha,District_11,Zaid,Pulses,Loamy,1769.0,33.2,78.0,185.1,5.4,Drip,Wheat,High,193.7,80.7,110.3,1,1.06
Karnataka,District_37,Kharif,Sugarcane,Loamy,2016.7,20.7,66.9,113.1,7.8,Canal,Rice,High,191.6,23.2,117.6,7,54.78
Rajasthan,District_4,Kharif,Cotton,Loamy,316.4,31.8,50.6,87.7,6.3,Rainfed,Cotton,Low,169.3,79.6,46.0,3,1.96
Odisha,District_49,Rabi,Wheat,Red,1731.8,28.7,52.7,88.9,5.4,Drip,Maize,Medium,154.4,47.2,119.7,7,2.62
Manipur,District_2,Rabi,Cotton,Alluvial,1354.4,22.3,74.4,272.6,6.8,Sprinkler,Rice,Medium,84.9,22.0,135.7,7,1.88
Odisha,District_3,Zaid,Wheat,Alluvial,867.2,16.6,40.5,72.6,5.4,Canal,Wheat,High,55.6,58.4,103.9,9,2.08
West Bengal,District_9,Zaid,Rice,Black,863.4,32.0,53.1,86.5,6.1,Drip,Pulses,Low,93.1,43.7,65.7,9,3.91
Haryana,District_17,Kharif,Sugarcane,Loamy,1386.0,17.5,61.5,89.9,7.7,Rainfed,Wheat,High,169.7,40.7,104.7,7,49.48
Karnataka,District_20,Zaid,Sugarcane,Alluvial,3031.8,37.8,52.7,286.3,6.9,Canal,Sugarcane,Low,141.2,61.0,65.4,2,68.74
Punjab,District_46,Zaid,Maize,Loamy,878.0,34.0,84.0,211.1,5.8,Tubewell,Rice,Medium,127.7,67.8,97.8,3,2.26
Karnataka,District_45,Zaid,Pulses,Black,1623.5,33.8,52.3,113.7,6.6,Rainfed,Pulses,Low,138.9,66.4,50.1,9,1.43
Karnataka,District_35,Zaid,Rice,Alluvial,445.7,16.0,86.9,68.5,6.1,Drip,Pulses,Medium,189.7,78.8,71.0,6,3.04
Odisha,District_27,Zaid,Rice,Red,1690.1,16.9,52.1,224.0,5.4,Drip,Rice,Low,177.7,59.6,92.9,3,3.52
Maharashtra,District_10,Zaid,Maize,Loamy,842.1,28.0,54.7,270.9,7.3,Drip,Wheat,High,148.8,88.0,135.4,9,2.53
Meghalaya,District_35,Zaid,Sugarcane,Red,555.9,17.4,78.4,105.4,7.5,Drip,Cotton,High,194.2,57.2,136.7,5,47.97
Maharashtra,District_16,Zaid,Pulses,Red,749.5,34.1,67.9,61.5,5.9,Canal,Maize,Medium,142.5,98.5,109.5,2,1.15
Gujarat,District_43,Rabi,Wheat,Sandy,1514.0,17.5,81.9,189.9,7.7,Drip,Maize,High,101.3,70.6,142.5,6,3.26
Punjab,District_14,Rabi,Cotton,Black,1204.0,21.9,78.9,76.2,6.7,Rainfed,Maize,Medium,101.9,69.7,45.0,2,2.09
Odisha,District_1,Zaid,Maize,Red,2716.7,23.8,43.6,257.2,6.2,Sprinkler,Wheat,High,172.8,40.2,40.1,2,2.42
Haryana,District_36,Zaid,Wheat,Loamy,460.2,33.3,78.2,113.0,5.4,Tubewell,Pulses,Medium,152.1,72.4,70.1,1,2.05
Gujarat,District_2,Zaid,Pulses,Loamy,1366.5,37.2,81.8,166.2,6.0,Canal,Maize,Medium,98.1,78.0,122.0,3,1.36
West Bengal,District_43,Zaid,Cotton,Black,1143.2,34.9,66.0,292.4,5.7,Sprinkler,Maize,Medium,180.3,82.1,124.8,2,1.97
Gujarat,District_48,Zaid,Sugarcane,Red,1512.1,15.7,90.6,208.0,7.3,Sprinkler,Maize,Medium,122.2,29.4,53.8,4,73.89
Odisha,District_17,Rabi,Pulses,Red,489.7,16.5,72.0,124.6,7.3,Tubewell,Rice,Medium,96.6,56.4,41.3,2,1.08
Meghalaya,District_35,Rabi,Wheat,Alluvial,644.7,31.6,76.1,241.7,7.7,Tubewell,Wheat,High,186.2,77.9,122.4,9,2.85
West Bengal,District_38,Rabi,Pulses,Red,1097.9,31.2,70.8,62.3,6.0,Sprinkler,Sugarcane,High,127.7,27.0,78.6,1,1.02
Assam,District_24,Kharif,Rice,Red,851.0,37.5,51.0,226.4,7.3,Tubewell,Maize,Low,56.2,73.6,144.7,3,4.18
Punjab,District_3,Zaid,Pulses,Black,1225.5,29.1,56.4,284.4,7.7,Canal,Sugarcane,Medium,143.8,82.7,107.3,7,1.29
Assam,District_1,Kharif,Pulses,Loamy,1518.2,33.0,66.4,69.8,5.6,Sprinkler,Maize,Low,115.8,78.0,105.3,9,1.38
Gujarat,District_4,Rabi,Cotton,Red,926.0,22.7,50.0,249.5,6.9,Rainfed,Cotton,Low,124.7,64.4,119.1,6,2.27
Haryana,District_37,Rabi,Rice,Loamy,1417.0,16.9,62.2,112.9,6.3,Canal,Wheat,Low,80.5,87.2,59.2,5,3.23
Uttar Pradesh,District_8,Rabi,Sugarcane,Alluvial,1727.6,23.0,60.4,297.0,5.3,Sprinkler,Cotton,Low,180.1,66.3,88.2,5,69.9
Karnataka,District_25,Zaid,Sugarcane,Black,2269.6,33.2,76.0,298.1,5.9,Drip,Cotton,High,103.9,50.7,91.2,5,54.09
Assam,District_40,Rabi,Sugarcane,Red,778.4,35.9,49.9,117.0,7.7,Canal,Sugarcane,High,77.1,88.4,94.2,6,47.35
Meghalaya,District_43,Kharif,Rice,Black,1012.4,23.3,72.6,99.2,6.2,Canal,Wheat,Medium,195.4,40.7,112.2,1,3.84
West Bengal,District_1,Zaid,Wheat,Alluvial,852.6,25.4,53.0,77.6,5.6,Drip,Cotton,Low,128.0,47.0,131.2,1,2.77
Meghalaya,District_15,Rabi,Sugarcane,Red,2898.3,20.8,59.8,151.0,6.8,Rainfed,Pulses,Low,103.5,62.7,126.0,8,65.28
Assam,District_15,Rabi,Pulses,Alluvial,1321.8,19.7,46.2,124.7,5.3,Rainfed,Pulses,High,129.7,94.9,44.3,7,1.11
Karnataka,District_35,Kharif,Pulses,Loamy,779.1,17.4,72.2,225.2,6.2,Tubewell,Pulses,Low,122.0,74.9,41.9,9,1.26
Uttar Pradesh,District_11,Kharif,Maize,Alluvial,1714.8,26.9,66.9,220.0,5.6,Rainfed,Sugarcane,Low,54.5,44.6,117.5,7,2.8
Meghalaya,District_30,Rabi,Sugarcane,Loamy,888.6,18.6,52.9,291.2,5.9,Rainfed,Pulses,Low,149.2,98.3,81.2,2,63.74
Maharashtra,District_29,Zaid,Maize,Sandy,1530.4,32.7,46.2,250.9,7.6,Canal,Sugarcane,Medium,140.1,95.3,131.0,5,2.4
Punjab,District_17,Zaid,Cotton,Red,342.5,28.9,57.5,267.9,7.8,Canal,Rice,High,162.9,27.2,71.8,4,1.81
West Bengal,District_49,Zaid,Pulses,Sandy,1962.9,25.1,89.6,270.7,6.0,Rainfed,Sugarcane,Low,180.3,50.1,72.7,7,1.53
Punjab,District_29,Rabi,Wheat,Sandy,517.1,23.9,64.7,117.0,6.2,Rainfed,Wheat,High,84.1,25.9,106.4,2,2.21
Karnataka,District_31,Zaid,Cotton,Loamy,247.8,26.9,66.4,66.2,6.1,Rainfed,Cotton,Low,107.0,51.9,103.8,4,1.89
Odisha,District_22,Zaid,Maize,Alluvial,2102.2,31.5,92.6,64.4,5.7,Drip,Pulses,Low,51.1,71.8,138.8,9,2.59
Gujarat,District_3,Zaid,Maize,Loamy,549.4,26.0,50.7,99.9,6.8,Drip,Rice,High,128.5,73.6,142.3,3,2.39
Odisha,District_33,Rabi,Maize,Alluvial,689.2,24.2,93.7,257.6,6.6,Canal,Pulses,Medium,68.5,88.8,128.0,7,2.56
Tamil Nadu,District_34,Rabi,Cotton,Alluvial,1740.1,36.1,63.3,80.9,7.3,Rainfed,Sugarcane,Low,106.0,62.1,52.4,7,2.08
Manipur,District_14,Zaid,Cotton,Loamy,1248.4,33.3,75.6,101.9,6.1,Rainfed,Sugarcane,Low,185.9,81.6,101.2,5,2.6
Uttar Pradesh,District_2,Rabi,Maize,Loamy,1836.1,30.4,84.5,244.0,5.6,Sprinkler,Wheat,Low,113.6,32.2,65.9,2,2.52
Meghalaya,District_36,Rabi,Wheat,Sandy,3214.1,22.2,52.7,109.5,6.9,Drip,Rice,Low,88.5,70.6,46.4,9,2.8
West Bengal,District_10,Rabi,Rice,Alluvial,699.9,31.5,78.1,297.9,5.5,Drip,Pulses,High,65.6,77.9,103.6,7,3.33
Assam,District_31,Zaid,Sugarcane,Red,723.6,28.7,62.1,148.1,6.1,Drip,Wheat,Medium,142.6,55.4,131.5,5,59.03
Gujarat,District_39,Kharif,Sugarcane,Loamy,1216.6,28.6,77.4,115.4,6.4,Sprinkler,Pulses,Low,78.5,24.2,81.6,6,62.82
Uttar Pradesh,District_33,Rabi,Rice,Loamy,2367.7,16.4,70.9,289.8,5.7,Rainfed,Rice,Medium,153.5,36.1,98.9,9,3.62
Assam,District_43,Rabi,Pulses,Sandy,229.9,37.4,41.1,236.9,7.2,Drip,Wheat,High,86.5,73.7,50.2,6,1.08
Gujarat,District_36,Rabi,Sugarcane,Red,1214.1,34.0,83.0,230.1,5.3,Sprinkler,Cotton,Medium,95.5,41.0,79.6,5,58.63
Gujarat,District_25,Kharif,Maize,Black,537.4,34.0,55.4,286.2,7.5,Tubewell,Cotton,High,74.3,82.9,103.2,5,2.2
Punjab,District_25,Zaid,Maize,Loamy,1115.1,27.4,74.5,221.8,6.6,Drip,Pulses,High,158.2,31.3,63.3,9,2.06
Manipur,District_9,Kharif,Pulses,Loamy,869.0,28.2,91.3,198.0,6.4,Sprinkler,Sugarcane,Low,97.1,68.5,55.3,6,1.26
Odisha,District_30,Rabi,Rice,Alluvial,829.3,34.0,76.6,89.2,6.4,Canal,Pulses,High,125.9,38.6,48.8,4,3.2
Uttar Pradesh,District_31,Zaid,Cotton,Black,643.8,20.0,74.1,216.0,5.6,Rainfed,Maize,Low,59.2,82.5,90.6,2,1.96
Karnataka,District_44,Rabi,Pulses,Alluvial,2336.2,21.8,63.7,101.0,5.4,Sprinkler,Cotton,Medium,167.4,41.2,59.6,1,1.08
Odisha,District_3,Zaid,Pulses,Loamy,1194.8,29.2,56.8,209.7,6.6,Sprinkler,Rice,High,113.9,30.5,137.5,3,1.23
West Bengal,District_48,Zaid,Pulses,Red,555.4,31.9,82.3,62.6,6.3,Canal,Cotton,Low,122.2,21.5,68.6,7,1.03
Haryana,District_11,Zaid,Pulses,Alluvial,1163.7,15.3,53.3,294.2,7.3,Rainfed,Rice,Medium,193.9,59.0,52.1,5,1.22
Punjab,District_24,Kharif,Maize,Red,547.1,32.0,66.2,150.2,6.2,Drip,Wheat,Medium,118.9,82.8,138.1,9,2.52
West Bengal,District_12,Rabi,Sugarcane,Sandy,1276.1,33.6,44.2,127.0,7.6,Tubewell,Wheat,High,88.0,82.5,130.8,7,47.54
Haryana,District_16,Rabi,Sugarcane,Sandy,1583.7,29.1,43.7,184.4,5.6,Drip,Sugarcane,High,160.6,61.0,114.8,8,56.87
Uttar Pradesh,District_17,Rabi,Wheat,Red,1241.8,16.6,40.7,289.6,7.1,Canal,Cotton,Medium,103.0,43.7,78.5,3,3.22
Assam,District_29,Zaid,Pulses,Black,601.5,17.3,76.3,243.4,5.9,Rainfed,Sugarcane,Low,53.1,26.6,146.5,8,1.38
Assam,District_20,Rabi,Pulses,Red,1486.9,19.7,46.7,207.6,7.2,Tubewell,Cotton,Medium,146.6,62.4,44.6,2,1.48
Gujarat,District_23,Kharif,Rice,Loamy,709.6,17.6,66.7,280.9,6.6,Sprinkler,Maize,High,142.5,32.5,44.8,1,3.18
Meghalaya,District_1,Kharif,Maize,Loamy,602.3,29.1,91.9,117.8,5.5,Sprinkler,Pulses,Medium,79.6,91.0,111.0,3,1.74
Manipur,District_32,Kharif,Pulses,Sandy,540.2,20.9,69.9,212.7,5.8,Rainfed,Wheat,High,196.8,79.9,101.4,7,1.1
Karnataka,District_17,Kharif,Maize,Black,604.7,37.6,91.6,70.4,5.6,Tubewell,Pulses,High,69.8,78.1,130.0,3,1.99
Haryana,District_29,Zaid,Pulses,Alluvial,873.9,32.4,80.9,206.9,5.5,Canal,Sugarcane,Medium,72.7,27.5,103.5,9,1.01
Odisha,District_21,Kharif,Pulses,Alluvial,779.8,15.2,53.6,234.4,7.8,Drip,Wheat,Medium,64.9,52.1,128.0,9,1.13
West Bengal,District_33,Zaid,Wheat,Red,2365.2,19.3,59.5,248.1,6.6,Rainfed,Wheat,High,50.8,80.9,43.9,1,3.18
Assam,District_30,Rabi,Cotton,Red,1607.1,34.4,65.9,180.5,5.5,Canal,Wheat,Low,107.8,71.5,125.8,6,2.37
Manipur,District_24,Zaid,Wheat,Loamy,384.2,31.0,40.2,208.7,6.1,Canal,Cotton,High,169.1,27.4,104.7,4,3.13
Punjab,District_24,Zaid,Maize,Alluvial,2484.1,20.2,78.7,72.7,6.5,Rainfed,Sugarcane,Medium,139.9,68.2,42.5,3,2.55
Maharashtra,District_15,Rabi,Pulses,Alluvial,693.7,22.7,83.2,229.8,7.3,Drip,Rice,High,127.6,55.2,56.2,7,1.12
Karnataka,District_42,Rabi,Sugarcane,Sandy,668.9,16.4,84.1,244.0,7.1,Canal,Pulses,Low,94.9,33.9,110.1,4,70.13
Gujarat,District_9,Rabi,Pulses,Loamy,911.1,34.3,61.1,197.2,6.7,Canal,Rice,Low,77.7,49.0,76.8,1,1.35
Assam,District_35,Kharif,Cotton,Alluvial,2381.6,36.4,83.0,73.5,7.4,Tubewell,Cotton,Low,83.8,50.2,90.8,4,2.49
Gujarat,District_38,Zaid,Maize,Sandy,993.3,18.1,44.4,234.7,6.5,Tubewell,Cotton,Medium,115.5,78.4,124.2,6,2.81
Rajasthan,District_18,Rabi,Rice,Sandy,854.2,36.2,66.0,63.2,5.9,Canal,Pulses,Medium,56.7,22.9,70.3,7,3.13
Odisha,District_24,Rabi,Wheat,Loamy,975.0,32.5,64.7,246.4,5.4,Canal,Pulses,Low,123.1,22.7,46.9,9,3.06
Odisha,District_26,Zaid,Sugarcane,Red,504.7,17.0,53.0,235.8,6.6,Rainfed,Wheat,Low,69.2,90.6,83.3,8,60.22
